datetime,stkcd,open,high,low,close,amt,vol,change,pct_change
2023-12-01 09:30:00,000300.SH,3494.223,3494.223,3489.802,3489.802,3781209405.6,2438419.0,-6.4,-0.001831
2023-12-01 09:31:00,000300.SH,3490.11,3490.11,3486.528,3486.742,2109907307.2000003,1284972.0,-3.06,-0.000877
2023-12-01 09:32:00,000300.SH,3486.547,3486.687,3483.136,3483.137,1914008742.0,1264113.0,-3.61,-0.001034
2023-12-01 09:33:00,000300.SH,3483.012,3483.012,3479.707,3480.291,2020878389.0999994,1278262.0,-2.85,-0.000817
2023-12-01 09:34:00,000300.SH,3480.582,3480.582,3478.625,3479.675,1751710993.5,983094.0,-0.62,-0.000177
2023-12-01 09:35:00,000300.SH,3479.41,3480.145,3479.127,3479.684,1799115781.0,1101421.0,0.01,3e-06
2023-12-01 09:36:00,000300.SH,3479.319,3479.319,3476.548,3477.094,1546749694.7000008,940358.0,-2.59,-0.000744
2023-12-01 09:37:00,000300.SH,3477.032,3477.606,3474.76,3474.76,1476977664.1000004,900357.0,-2.33,-0.000671
2023-12-01 09:38:00,000300.SH,3474.669,3474.669,3471.956,3472.235,1517351156.7999992,931121.0,-2.53,-0.000727
2023-12-01 09:39:00,000300.SH,3472.159,3472.159,3469.474,3469.736,1446610920.0,874037.0,-2.5,-0.00072
2023-12-01 09:40:00,000300.SH,3469.463,3472.828,3469.463,3472.061,1570847606.2999992,912397.0,2.33,0.00067
2023-12-01 09:41:00,000300.SH,3472.196,3474.872,3472.196,3474.871,1086386350.9000015,870613.0,2.81,0.000809
2023-12-01 09:42:00,000300.SH,3474.433,3474.433,3471.886,3471.886,1104953133.7999992,667176.0,-2.99,-0.000859
2023-12-01 09:43:00,000300.SH,3471.784,3471.806,3470.12,3470.333,1125958198.0,622294.0,-1.55,-0.000447
2023-12-01 09:44:00,000300.SH,3470.454,3470.524,3468.988,3468.988,993019006.7999992,612319.0,-1.35,-0.000388
2023-12-01 09:45:00,000300.SH,3468.882,3474.398,3468.882,3474.398,1237534841.6000023,766177.0,5.41,0.00156
2023-12-01 09:46:00,000300.SH,3474.366,3475.887,3474.129,3475.887,965144309.0,616307.0,1.49,0.000429
2023-12-01 09:47:00,000300.SH,3475.727,3477.082,3475.727,3477.082,697376198.7999992,408191.0,1.19,0.000344
2023-12-01 09:48:00,000300.SH,3476.582,3476.582,3474.231,3475.615,945201499.7000008,589839.0,-1.47,-0.000422
2023-12-01 09:49:00,000300.SH,3475.794,3476.07,3473.721,3473.721,740436881.0,449495.0,-1.89,-0.000545
2023-12-01 09:50:00,000300.SH,3473.574,3476.347,3472.361,3476.347,1083383897.0,716369.0,2.63,0.000756
2023-12-01 09:51:00,000300.SH,3476.642,3478.547,3476.642,3477.824,1047242108.0999985,919271.0,1.48,0.000425
2023-12-01 09:52:00,000300.SH,3477.717,3477.717,3474.752,3474.752,990918893.0999985,628876.0,-3.07,-0.000883
2023-12-01 09:53:00,000300.SH,3475.155,3476.52,3474.317,3476.52,953238922.9000015,839354.0,1.77,0.000509
2023-12-01 09:54:00,000300.SH,3476.83,3476.83,3475.989,3476.427,733366469.5999985,472320.0,-0.09,-2.7e-05
2023-12-01 09:55:00,000300.SH,3476.243,3476.243,3475.079,3475.358,845686484.5,533277.0,-1.07,-0.000307
2023-12-01 09:56:00,000300.SH,3475.059,3475.371,3473.98,3474.157,837233555.7000046,508774.0,-1.2,-0.000346
2023-12-01 09:57:00,000300.SH,3473.706,3474.852,3473.706,3474.226,939193830.699997,956052.0,0.07,2e-05
2023-12-01 09:58:00,000300.SH,3474.154,3474.321,3473.783,3473.916,714782248.199997,464637.0,-0.31,-8.9e-05
2023-12-01 09:59:00,000300.SH,3473.704,3474.964,3473.595,3473.738,864387930.800003,531516.0,-0.18,-5.1e-05
2023-12-01 10:00:00,000300.SH,3474.202,3476.745,3473.706,3476.359,947385403.4000015,772662.0,2.62,0.000755
2023-12-01 10:01:00,000300.SH,3476.629,3477.817,3476.605,3477.167,836092122.5,576344.0,0.81,0.000232
2023-12-01 10:02:00,000300.SH,3477.245,3478.341,3476.885,3478.341,725773337.199997,523690.0,1.17,0.000338
2023-12-01 10:03:00,000300.SH,3478.364,3479.275,3478.18,3479.275,674038483.2000046,497099.0,0.93,0.000269
2023-12-01 10:04:00,000300.SH,3479.192,3480.664,3479.192,3480.299,829947357.2999954,687585.0,1.02,0.000294
2023-12-01 10:05:00,000300.SH,3480.882,3480.882,3479.172,3479.172,825889295.4000015,606470.0,-1.13,-0.000324
2023-12-01 10:06:00,000300.SH,3479.721,3479.721,3478.616,3479.049,720222863.800003,432441.0,-0.12,-3.5e-05
2023-12-01 10:07:00,000300.SH,3479.139,3479.303,3476.932,3477.141,808629605.3999939,528347.0,-1.91,-0.000548
2023-12-01 10:08:00,000300.SH,3477.294,3477.911,3476.083,3476.345,742336874.4000015,473509.0,-0.8,-0.000229
2023-12-01 10:09:00,000300.SH,3476.207,3476.578,3475.693,3476.54,670879275.800003,396821.0,0.2,5.6e-05
2023-12-01 10:10:00,000300.SH,3476.539,3476.699,3474.424,3474.424,793022091.199997,398505.0,-2.12,-0.000609
2023-12-01 10:11:00,000300.SH,3474.563,3475.034,3473.333,3473.494,762977674.5,608418.0,-0.93,-0.000268
2023-12-01 10:12:00,000300.SH,3473.06,3473.06,3470.652,3470.698,838048641.0,533478.0,-2.8,-0.000805
2023-12-01 10:13:00,000300.SH,3470.91,3471.563,3470.863,3471.405,929708285.5999985,484630.0,0.71,0.000204
2023-12-01 10:14:00,000300.SH,3471.472,3471.848,3470.894,3471.011,783636055.2000046,429815.0,-0.39,-0.000113
2023-12-01 10:15:00,000300.SH,3471.139,3471.139,3468.886,3469.038,901723179.5999985,493402.0,-1.97,-0.000568
2023-12-01 10:16:00,000300.SH,3468.774,3468.78,3467.917,3468.456,813274603.199997,444481.0,-0.58,-0.000168
2023-12-01 10:17:00,000300.SH,3468.265,3468.821,3467.829,3468.819,698512012.6000061,378129.0,0.36,0.000105
2023-12-01 10:18:00,000300.SH,3468.744,3469.936,3468.59,3469.701,764282491.2999954,415366.0,0.88,0.000254
2023-12-01 10:19:00,000300.SH,3469.786,3470.007,3469.276,3469.673,638660222.0,330123.0,-0.03,-8e-06
2023-12-01 10:20:00,000300.SH,3469.491,3469.978,3469.246,3469.971,630831165.7000046,320732.0,0.3,8.6e-05
2023-12-01 10:21:00,000300.SH,3469.768,3469.768,3467.948,3468.212,748091158.7999954,386803.0,-1.76,-0.000507
2023-12-01 10:22:00,000300.SH,3468.091,3468.283,3466.809,3466.981,742282223.0999985,402830.0,-1.23,-0.000355
2023-12-01 10:23:00,000300.SH,3466.925,3467.731,3466.925,3467.021,706243683.300003,365603.0,0.04,1.2e-05
2023-12-01 10:24:00,000300.SH,3466.955,3467.076,3466.311,3466.669,730844339.9000015,344845.0,-0.35,-0.000102
2023-12-01 10:25:00,000300.SH,3466.548,3466.698,3465.509,3465.509,714867555.699997,374632.0,-1.16,-0.000335
2023-12-01 10:26:00,000300.SH,3465.238,3466.097,3465.238,3466.097,626079393.0,296629.0,0.59,0.00017
2023-12-01 10:27:00,000300.SH,3465.955,3466.434,3465.608,3466.189,656591706.0999985,331043.0,0.09,2.7e-05
2023-12-01 10:28:00,000300.SH,3466.465,3466.465,3465.409,3466.109,623835825.2000046,360860.0,-0.08,-2.3e-05
2023-12-01 10:29:00,000300.SH,3465.888,3466.935,3465.778,3466.935,580626547.199997,363687.0,0.83,0.000238
2023-12-01 10:30:00,000300.SH,3466.67,3468.78,3466.67,3468.518,650797196.2000046,467979.0,1.58,0.000457
2023-12-01 10:31:00,000300.SH,3468.591,3470.438,3468.591,3470.438,520914007.69999695,358226.0,1.92,0.000554
2023-12-01 10:32:00,000300.SH,3470.547,3471.261,3470.42,3470.847,517412244.9000015,393203.0,0.41,0.000118
2023-12-01 10:33:00,000300.SH,3470.939,3470.964,3470.153,3470.514,546852089.699997,312551.0,-0.33,-9.6e-05
2023-12-01 10:34:00,000300.SH,3470.353,3470.863,3470.239,3470.446,704676572.0999985,396772.0,-0.07,-2e-05
2023-12-01 10:35:00,000300.SH,3470.218,3470.218,3468.199,3468.444,718799618.7000046,383517.0,-2.0,-0.000577
2023-12-01 10:36:00,000300.SH,3468.398,3468.649,3468.031,3468.448,543654249.0,409874.0,0.0,1e-06
2023-12-01 10:37:00,000300.SH,3468.385,3469.771,3468.102,3469.633,501142559.2999954,279752.0,1.18,0.000342
